Razón social;Nombre de establecimiento;ID establecimiento (VU);CIIU4;Rubro RETC;Ducto;Tipo de Contaminante;Emisión (toneladas);Año;Norma;Región;Provincia;Comuna;Huso;Coordenada norte;Coordenada este
LAPOSTOLLE S A;FUNDO Y PLANTA CLOS APALTA;4636;ELABORACIÓN DE VINOS;Industria agropecuaria y silvicultura;792;Arsénico;8,73E-07;2017;DS90/2000 del MINSEGPRES;Libertador Gral. Bernardo O'Higgins;Colchagua;Santa Cruz;19.0;6164306.0;283134.0
FUNDACION CHILE;ESTACION EXPERIMENTAL QUILLAIPE;5441926;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;Otras actividades;206;Hierro / hierro disuelto;8,63E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5397140.0;689019.0
LACTEOS TINGUIRIRICA S.A.;LACTEOS TINGUIRIRICA SA;2704;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;360;Triclorometano;8,45E-07;2017;DS90/2000 del MINSEGPRES;Libertador Gral. Bernardo O'Higgins;Colchagua;Chimbarongo;19.0;6156786.0;314075.0
LACTEOS TINGUIRIRICA S.A.;LACTEOS TINGUIRIRICA SA;2704;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;360;Aluminio;8,18E-07;2017;DS90/2000 del MINSEGPRES;Libertador Gral. Bernardo O'Higgins;Colchagua;Chimbarongo;19.0;6156786.0;314075.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;SAN CARLOS;5470422;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;929;Tolueno / metil benceno / Toluol / Fenilmetano;7,92E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;San Carlos;19.0;5963526.0;235344.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;SAN CARLOS;5470422;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;929;Xileno;7,92E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;San Carlos;19.0;5963526.0;235344.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;SAN CARLOS;5470422;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;929;Selenio;7,92E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;San Carlos;19.0;5963526.0;235344.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;SAN CARLOS;5470422;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;929;Níquel;7,92E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;San Carlos;19.0;5963526.0;235344.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;SAN CARLOS;5470422;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;929;Tetracloroeteno;7,92E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;San Carlos;19.0;5963526.0;235344.0
FUNDACION CHILE;ESTACION EXPERIMENTAL QUILLAIPE;5441926;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;Otras actividades;199;Hierro / hierro disuelto;7,85E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5397140.0;689019.0
