Razón social;Nombre de establecimiento;ID establecimiento (VU);CIIU4;Rubro RETC;Ducto;Tipo de Contaminante;Emisión (toneladas);Año;Norma;Región;Provincia;Comuna;Huso;Coordenada norte;Coordenada este
CHOCOLATERIA ENTRELAGOS LTDA;CHOCOLATERÍA ENTRELAGOS LTDA;5402981;ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA;Producción de alimentos;753;Boro;6,49E-07;2017;DS46/2002 del MINSEGPRES;Los Ríos;Valdivia;Valdivia;18.0;5590794.0;650186.0
CHOCOLATERIA ENTRELAGOS LTDA;CHOCOLATERÍA ENTRELAGOS LTDA;5402981;ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA;Producción de alimentos;753;Benceno;6,49E-07;2017;DS46/2002 del MINSEGPRES;Los Ríos;Valdivia;Valdivia;18.0;5590794.0;650186.0
FUNDACION CHILE;ESTACION EXPERIMENTAL QUILLAIPE;5441926;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;Otras actividades;201;Arsénico;6,46E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5397140.0;689019.0
FUNDACION CHILE;ESTACION EXPERIMENTAL QUILLAIPE;5441926;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;Otras actividades;201;Hierro / hierro disuelto;6,46E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5397140.0;689019.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;SAN CARLOS;5470422;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;929;Cadmio;6,34E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;San Carlos;19.0;5963526.0;235344.0
NAJLE;PLANTA FAENADORA DE CARNES HN SAN CARLOS;5400802;PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS;Producción de alimentos;428;Boro;6,34E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;San Carlos;19.0;5964440.0;235615.0
NAJLE;PLANTA FAENADORA DE CARNES HN SAN CARLOS;5400802;PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS;Producción de alimentos;428;Arsénico;6,34E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;San Carlos;19.0;5964440.0;235615.0
SOC COM AGRICOLA GANADERA E IND DOLLINCO LTDA;DOLLINCO;244608;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Industria agropecuaria y silvicultura;907;Selenio;6,16E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Purranque;18.0;5462581.0;656961.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;FERIA BULNES;5470374;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;928;Tetracloroeteno;6,07E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;Bulnes;18.0;5928513.0;741227.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;FERIA BULNES;5470374;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;928;Xileno;6,07E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;Bulnes;18.0;5928513.0;741227.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;FERIA BULNES;5470374;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;928;Selenio;6,07E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;Bulnes;18.0;5928513.0;741227.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;FERIA BULNES;5470374;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;928;Tolueno / metil benceno / Toluol / Fenilmetano;6,07E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;Bulnes;18.0;5928513.0;741227.0
COOP AGRICOLA REMOLACHERA NUBLE C A R LTDA;FERIA BULNES;5470374;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;Industria agropecuaria y silvicultura;928;Níquel;6,07E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;Bulnes;18.0;5928513.0;741227.0
VITAL AGUAS S.A.;VITAL AGUAS;386218;"ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS;";Otras actividades;447;Tetracloroeteno;5,94E-07;2017;DS90/2000 del MINSEGPRES;Libertador Gral. Bernardo O'Higgins;Cachapoal;Rengo;19.0;6190058.0;336638.0
ENVASES IMPRESOS S A;PLANTA OSORNO;5458752;OTRAS ACTIVIDADES DE EDICIÓN;Otras actividades;546;Selenio;5,94E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5491986.0;668581.0
ENVASES IMPRESOS S A;PLANTA OSORNO;5458752;OTRAS ACTIVIDADES DE EDICIÓN;Otras actividades;546;Arsénico;5,94E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5491986.0;668581.0
